,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Weather
136,Chuy,-33.6971,-53.4616,65.52,51,90,13.8,UY,2021-06-01 15:37:02,overcast clouds
137,Port Hardy,50.6996,-127.4199,57.38,94,75,0.0,CA,2021-06-01 15:37:02,broken clouds
138,Rocha,-34.4833,-54.3333,64.58,57,100,14.16,UY,2021-06-01 15:29:30,overcast clouds
139,Hami,42.8,93.45,83.23,10,40,8.88,CN,2021-06-01 15:28:41,scattered clouds
140,Torbay,47.6666,-52.7314,66.97,92,90,25.32,CA,2021-06-01 15:28:43,light rain
141,Kinshasa,-4.3246,15.3215,89.98,51,20,3.56,CD,2021-06-01 15:37:03,few clouds
142,Mbanza-Ngungu,-5.25,14.8667,78.22,69,65,6.62,CD,2021-06-01 15:37:03,broken clouds
143,Agadez,19.75,10.25,105.91,6,100,9.93,NE,2021-06-01 15:31:38,overcast clouds
144,Arlit,18.7369,7.3853,111.63,5,15,10.94,NE,2021-06-01 15:25:42,few clouds
145,Macamic,48.7502,-78.9996,66.43,51,69,10.42,CA,2021-06-01 15:37:03,broken clouds
146,Saint George,37.1041,-113.5841,89.35,15,1,1.01,US,2021-06-01 15:37:04,clear sky
147,Sadovoye,47.7764,44.5089,77.99,53,100,13.67,RU,2021-06-01 15:37:04,overcast clouds
148,Tiksi,71.6872,128.8694,38.12,91,99,5.88,RU,2021-06-01 15:37:04,overcast clouds
149,Hithadhoo,-0.6,73.0833,84.31,67,100,15.7,MV,2021-06-01 15:37:05,overcast clouds
150,Petropavlovsk-Kamchatskiy,53.0452,158.6483,36.19,87,75,3.51,RU,2021-06-01 15:30:03,broken clouds
151,Pereslavl-Zalesskiy,56.7393,38.8563,56.23,64,68,3.65,RU,2021-06-01 15:37:05,broken clouds
152,Mar Del Plata,-38.0023,-57.5575,64.09,56,0,1.01,AR,2021-06-01 15:37:06,clear sky
153,Garowe,8.4054,48.4845,84.36,48,87,21.16,SO,2021-06-01 15:37:07,overcast clouds
154,Metkovic,43.0542,17.6483,73.87,49,52,4.27,HR,2021-06-01 15:37:07,broken clouds
155,Nanortalik,60.1432,-45.2371,41.59,75,91,2.71,GL,2021-06-01 15:27:20,overcast clouds
156,Santa Rosa,14.3122,121.1114,86.11,79,92,3.62,PH,2021-06-01 15:30:08,overcast clouds
157,Saldanha,-33.0117,17.9442,62.65,82,0,11.54,ZA,2021-06-01 15:37:07,clear sky
158,Antsohihy,-14.8796,47.9875,78.13,48,8,9.98,MG,2021-06-01 15:30:28,clear sky
159,Lasa,46.6166,10.7002,76.08,51,36,0.89,IT,2021-06-01 15:37:08,scattered clouds
160,Aripuana,-9.1667,-60.6333,92.25,37,39,3.24,BR,2021-06-01 15:31:11,scattered clouds
161,Muli,2.9167,73.5667,83.84,72,74,14.92,MV,2021-06-01 15:37:08,broken clouds
162,Presidencia Roque Saenz Pena,-26.7852,-60.4388,75.9,22,0,10.02,AR,2021-06-01 15:37:09,clear sky
163,Lebu,-37.6167,-73.65,57.45,98,100,7.31,CL,2021-06-01 15:37:09,heavy intensity rain
164,Knysna,-34.0363,23.0471,61.18,82,8,6.26,ZA,2021-06-01 15:37:09,clear sky
165,Mao,39.8885,4.2658,73.96,68,20,8.05,ES,2021-06-01 15:29:17,few clouds
166,Hualmay,-11.0964,-77.6139,68.27,76,99,9.37,PE,2021-06-01 15:31:09,overcast clouds
167,Vardo,70.3705,31.1107,53.8,71,0,20.71,NO,2021-06-01 15:34:47,clear sky
168,Namtsy,62.7161,129.6658,48.31,77,10,4.63,RU,2021-06-01 15:29:59,clear sky
169,Rivera,-30.9053,-55.5508,64.89,46,11,10.78,UY,2021-06-01 15:37:10,few clouds
170,Lata,40.1629,-8.3327,65.8,62,92,7.85,PT,2021-06-01 15:37:11,overcast clouds
171,Ranong,9.9658,98.6348,81.03,86,25,4.5,TH,2021-06-01 15:37:11,scattered clouds
172,Saint Anthony,45.0205,-93.218,75.25,46,1,1.99,US,2021-06-01 15:37:11,clear sky
173,Placido De Castro,-10.3353,-67.1856,90.09,48,69,2.26,BR,2021-06-01 15:37:12,broken clouds
174,Souillac,-20.5167,57.5167,70.18,94,75,10.38,MU,2021-06-01 15:37:12,light rain
175,Ponta Delgada,37.7333,-25.6667,65.12,55,40,16.11,PT,2021-06-01 15:29:51,scattered clouds
176,Pevek,69.7008,170.3133,35.08,69,10,3.24,RU,2021-06-01 15:37:12,clear sky
177,Grindavik,63.8424,-22.4338,49.95,66,75,18.7,IS,2021-06-01 15:28:36,broken clouds
178,Sola,-13.8833,167.55,79.47,78,90,0.0,VU,2021-06-01 15:37:13,overcast clouds
179,Roma,43.2128,-75.4557,70.43,52,100,2.1,US,2021-06-01 15:28:02,overcast clouds
180,Port Keats,-14.25,129.55,72.9,69,100,1.81,AU,2021-06-01 15:37:13,overcast clouds
181,Clyde River,70.4692,-68.5914,26.83,93,90,2.3,CA,2021-06-01 15:37:14,overcast clouds
182,Aklavik,68.2191,-135.0107,30.92,86,90,9.22,CA,2021-06-01 15:30:46,overcast clouds
183,Amapa,1.0,-52.0,83.41,74,20,3.4,BR,2021-06-01 15:28:03,few clouds
184,Qaanaaq,77.484,-69.3632,31.53,83,100,3.42,GL,2021-06-01 15:37:14,overcast clouds
185,Kruisfontein,-34.0033,24.7314,56.88,79,24,14.18,ZA,2021-06-01 15:37:14,few clouds
186,Avanigadda,16.0215,80.9181,91.54,62,70,10.33,IN,2021-06-01 15:37:15,broken clouds
187,Narsaq,60.9167,-46.05,57.42,45,28,3.6,GL,2021-06-01 15:27:36,scattered clouds
188,Speightstown,13.25,-59.65,86.61,70,46,13.51,BB,2021-06-01 15:37:15,scattered clouds
189,Avera,33.194,-82.5271,77.72,47,90,7.72,US,2021-06-01 15:28:26,overcast clouds
190,Biak,-0.9131,122.8766,76.53,83,86,5.01,ID,2021-06-01 15:30:04,overcast clouds
191,Tire,38.0888,27.7351,75.94,40,23,10.98,TR,2021-06-01 15:37:16,few clouds
192,San Ignacio,17.1561,-89.0714,82.54,74,20,5.61,BZ,2021-06-01 15:37:16,few clouds
193,Khani,41.9563,42.9566,62.17,91,60,3.11,GE,2021-06-01 15:37:16,light rain
194,Yerbogachen,61.2767,108.0108,56.79,56,83,3.42,RU,2021-06-01 15:37:17,broken clouds
195,Lompoc,34.6391,-120.4579,56.88,100,90,3.15,US,2021-06-01 15:37:17,fog
196,Sao Joaquim,-28.2939,-49.9317,58.55,37,2,4.0,BR,2021-06-01 15:37:17,clear sky
197,Makaryev,57.8797,43.8069,57.65,51,81,6.2,RU,2021-06-01 15:37:17,broken clouds
